canal_venta,Family,product_name,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
DHO,X FIBER,X Fiber 100 - neba,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0
DHO,X FIBER,X Fiber 100 - own,0,0,0,2,1,0,2,0,1,0,0,2,0,0,0,0
DHO,X FIBER,X Fiber 200 - neba,0,0,0,0,0,0,0,2,4,1,1,2,0,0,0,0
DHO,X FIBER,X Fiber 200 - own,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1
DHO,X FIBER,X Fiber 50 - neba,0,0,2,0,1,2,0,0,0,2,0,2,0,1,0,0
DHO,X FIBER,X Fiber 50 - own,0,0,2,1,1,1,0,0,1,2,2,0,0,0,0,10
DHO,X MUSIC,X Music,2,1,3,3,7,1,0,0,0,0,0,3,0,0,0,1
DHO,X PRIVACY,X Privacy 100,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0
DHO,X PRIVACY,X Privacy 200,0,0,0,0,0,0,0,0,7,0,1,0,8,0,0,2
DHO,X PRIVACY,X Privacy 50,0,3,2,0,0,11,10,0,11,2,5,7,0,0,0,1
DHO,X PROTECTION,X Protection,0,0,1,2,5,10,2,5,28,14,11,13,27,22,4,9
DHO,X SECURITY,X Security 100,0,0,0,0,0,0,0,0,1,3,1,0,9,4,0,0
DHO,X SECURITY,X Security 200,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0
DHO,X UCOM,Teamwork+PBX,0,0,5,16,22,3,12,15,40,64,10,41,52,97,90,77
IT integrator,X FIBER,X Fiber 100 - neba,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0
IT integrator,X FIBER,X Fiber 100 - own,0,0,3,1,0,0,2,1,4,5,1,2,3,0,4,2
IT integrator,X FIBER,X Fiber 200 - neba,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1
IT integrator,X FIBER,X Fiber 200 - own,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
IT integrator,X FIBER,X Fiber 50 - neba,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
IT integrator,X FIBER,X Fiber 50 - own,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
IT integrator,X MUSIC,X Music,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
IT integrator,X PRIVACY,X Privacy 200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IT integrator,X PRIVACY,X Privacy 50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IT integrator,X PROTECTION,X Protection,0,0,0,0,0,0,3,0,0,0,0,6,0,4,0,0
IT integrator,X SECURITY,X Security 100,0,0,0,2,1,0,0,2,1,3,0,4,12,2,21,1
IT integrator,X SECURITY,X Security 200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IT integrator,X SECURITY,X Security Monosede 200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IT integrator,X UCOM,Teamwork+PBX,0,0,6,0,0,1,3,1,0,0,0,0,0,0,0,0
WEB,X FIBER,X Fiber 100 - own,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WEB,X FIBER,X Fiber 200 - neba,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
WEB,X FIBER,X Fiber 200 - own,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WEB,X FIBER,X Fiber 50 - own,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WEB,X MUSIC,X Music,1,1,0,0,0,1,0,5,0,0,0,1,0,0,0,0
WEB,X PRIVACY,X Privacy 100,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
WEB,X PRIVACY,X Privacy 50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
WEB,X PROTECTION,X Protection,0,0,3,0,0,15,7,0,1,0,0,0,1,2,0,0
WEB,X UCOM,Teamwork+PBX,0,5,5,3,1,8,2,1,6,8,4,15,14,3,16,6
