index,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
DHO_Teamwork+PBX,"0,0","0,0","39,7","70,25999999999998","327,87","486,94000000000005","487,59999999999997","567,8099999999997","1039,7800000000002","1481,850000000001","1783,3199999999995","2055,2100000000014","2854,99","3476,8299999999995","4500,019999999991","5254,819999999995","5505,0"
DHO_X Fiber 100 - neba,"0,0","0,0","0,0","0,0","0,0","0,0","35,0","108,33","140,0","140,0","159,48","175,0","208,35","210,0","175,0","176,34","202,0"
DHO_X Fiber 100 - own,"0,0","0,0","0,0","4,52","81,25","105,0","153,56","175,0","189,0","175,0","175,0","232,06","245,0","245,0","245,0","245,0","245,0"
DHO_X Fiber 200 - neba,"0,0","0,0","0,0","14,19","40,0","40,0","1,33","36,129999999999995","147,89","251,21","310,03","323,8","360,0","360,0","360,0","320,0","320,0"
DHO_X Fiber 200 - own,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,87","66,03999999999999","138,71","40,0","40,0","40,0","40,0","40,0","76,7","40,0"
DHO_X Fiber 50 - neba,"0,0","0,0","38,7","60,0","60,0","144,19","150,0","150,0","150,0","179,35","210,0","259,88","270,0","280,87","300,0","270,0","270,0"
DHO_X Fiber 50 - own,"0,0","0,0","48,379999999999995","63,87","98,12","121,93","120,0","120,0","133,7","177,47000000000003","263,27000000000004","240,0","240,0","240,0","240,0","267,43999999999994","504,0"
DHO_X Music,"9,68","38,0","69,68","99,68","177,87","214,84","224,5","210,0","210,0","210,0","210,0","247,5","255,0","255,0","255,0","263,23","270,0"
DHO_X Privacy 100,"0,0","0,0","0,0","0,0","0,0","0,0","104,16","200,0","408,51","461,3","300,0","300,0","300,0","300,0","300,0","300,0","300,0"
DHO_X Privacy 200,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","350,37","575,0","688,11","690,0","936,36","1265,0","1265,0","1388,12","1495,0"
DHO_X Privacy 50,"0,0","72,0","389,68000000000006","0,0","400,0","833,54","1427,83","1623,23","2013,73","2400,8999999999996","2164,18","2193,3999999999996","2480,0","2480,0","2480,0","2491,92","2560,0"
DHO_X Protection,"0,0","0,0","0,39","6,199999999999999","21,310000000000002","49,24","59,2","64,49000000000001","110,00000000000001","168,29","212,89000000000001","232,99999999999997","293,81","357,3000000000001","394,54","396,96000000000004","402,0"
DHO_X Security 100,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","186,66","292,14","379,79","400,0","1272,31","1811,8500000000001","1788,06","1770,0","1770,0"
DHO_X Security 200,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","63,05","155,0","155,0","155,0","270,0","270,02","270,0","270,0"
IT integrator_Teamwork+PBX,"0,0","0,0","62,7","71,85","72,0","84,0","87,75","138,57999999999998","118,8","108,0","108,0","108,0","114,96000000000001","112,05000000000001","108,0","108,0","108,0"
IT integrator_X Fiber 100 - neba,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,15","18,0","18,0","18,0","18,0","23,62","36,0","0,0","0,0","0,0"
IT integrator_X Fiber 100 - own,"0,0","0,0","49,68","130,97","140,0","140,0","167,32999999999998","212,9","250,55","362,72","441,18","454,97","491,63","514,0","280,0","280,0","280,0"
IT integrator_X Fiber 200 - neba,"0,0","0,0","0,0","0,0","0,0","5,16","78,67","80,0","114,67","137,11","161,87","178,0","178,0","178,0","160,0","166,03999999999996","262,0"
IT integrator_X Fiber 200 - own,"0,0","0,0","0,0","18,06","40,0","40,0","40,0","40,0","40,0","60,5","80,0","74,19","80,0","88,17","86,45","88,85","156,5"
