index,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
cif,3,11,19,13,25,22,19,25,45,51,16,51,49,42,38,45
DHO,2,6,7,9,23,14,7,15,34,43,12,35,40,36,34,39
IT integrator,0,1,4,3,1,1,8,3,5,4,1,7,2,2,1,2
WEB,1,4,8,1,1,7,4,7,6,4,3,9,7,4,3,4
DHO_X FIBER,0,2,3,4,6,1,2,4,5,12,3,3,0,1,1,3
DHO_X MUSIC F,2,1,3,1,4,1,0,0,0,0,0,1,0,0,0,1
DHO_X PRIVACY,0,2,0,0,5,7,1,2,5,3,1,3,2,0,1,3
DHO_X PROTECTION F,0,0,1,2,5,4,3,4,14,17,5,9,16,10,4,4
DHO_X SECURITY,0,0,0,0,0,0,0,1,2,2,0,3,1,1,1,0
DHO_X UCOM,0,1,0,4,5,1,2,8,15,14,3,16,21,25,27,28
IT integrator_X FIBER,0,1,4,3,0,1,6,2,3,3,1,3,1,1,1,1
IT integrator_X MUSIC F,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
IT integrator_X PRIVACY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IT integrator_X PROTECTION F,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0
IT integrator_X SECURITY,0,0,2,2,0,0,0,1,3,1,0,1,2,0,0,1
IT integrator_X UCOM,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0
WEB_X FIBER,0,0,1,0,1,0,0,0,1,1,0,2,0,0,1,0
WEB_X MUSIC F,1,1,0,0,0,1,0,5,0,0,0,1,0,0,0,0
WEB_X PRIVACY,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
WEB_X PROTECTION F,0,0,3,0,0,1,2,0,1,0,0,0,1,1,0,0
WEB_X UCOM,0,3,3,1,0,5,1,2,4,3,3,6,6,3,2,4
DHO_Teamwork+PBX,0,5,0,19,21,1,12,18,56,51,7,46,77,75,104,84
DHO_X Fiber 100 - neba,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0,1
DHO_X Fiber 100 - own,0,0,1,1,2,0,1,2,0,1,0,2,0,0,0,0
DHO_X Fiber 200 - neba,0,0,0,0,1,0,1,0,4,4,0,1,0,0,0,0
DHO_X Fiber 200 - own,0,0,0,0,0,0,0,6,0,1,0,1,0,0,1,0
DHO_X Fiber 50 - neba,0,1,1,0,3,0,0,0,0,3,1,0,0,1,0,1
DHO_X Fiber 50 - own,0,2,1,2,0,1,0,0,1,3,1,0,0,0,0,11
DHO_X Music,2,1,3,3,7,1,0,0,0,0,0,3,0,0,0,1
DHO_X Privacy 100,0,0,0,0,2,0,0,0,3,0,0,0,2,0,2,0
DHO_X Privacy 200,0,0,0,0,0,0,0,4,5,1,0,4,4,0,0,10
DHO_X Privacy 50,0,5,0,0,10,14,2,8,5,5,2,5,0,0,0,1
DHO_X Protection,0,0,1,2,5,10,3,4,28,20,5,13,27,22,4,10
DHO_X Security 100,0,0,0,0,0,0,0,2,1,2,0,25,6,0,2,0
DHO_X Security 200,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0
IT integrator_Teamwork+PBX,0,0,6,0,1,1,3,1,0,0,0,0,0,0,0,0
IT integrator_X Fiber 100 - neba,0,0,0,0,0,0,1,1,0,0,0,1,13,0,1,0
IT integrator_X Fiber 100 - own,0,0,3,2,0,0,3,1,11,0,0,12,4,0,0,0
IT integrator_X Fiber 200 - neba,0,1,0,0,0,1,1,2,0,1,0,1,0,0,0,5
IT integrator_X Fiber 200 - own,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,3
IT integrator_X Fiber 50 - neba,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
IT integrator_X Fiber 50 - own,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
IT integrator_X Music,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
IT integrator_X Privacy 200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IT integrator_X Privacy 50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IT integrator_X Protection,0,0,0,0,0,0,3,0,0,0,0,7,0,4,0,0
IT integrator_X Security 100,0,0,2,2,0,0,0,3,10,0,0,25,21,0,0,0
IT integrator_X Security 200,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
IT integrator_X Security Monosede 200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WEB_Teamwork+PBX,0,8,7,1,0,9,1,3,9,6,5,13,17,3,16,6
WEB_X Fiber 100 - own,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
WEB_X Fiber 200 - neba,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
WEB_X Fiber 200 - own,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
WEB_X Fiber 50 - own,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WEB_X Music,1,1,0,0,0,1,0,5,0,0,0,1,0,0,0,0
WEB_X Privacy 100,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
WEB_X Privacy 50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WEB_X Protection,0,0,3,0,0,15,7,0,1,0,0,0,1,2,0,0
